Company_Name,Date_of_leak,Date_of_attack,Company_URL,Company_Country,Company_Address,Industry_Type,"Company_Description (Important ones, interesting ones)","Notes, and Interesting things",Data_Type,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data ,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
ABS Auto Auctions,30/8/2023,18/8/2023,www.absautoauctions.com,United States,"California, United States",Auction,,,"Private and personal confidential data, clients and employee documents, contracts, finance information and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
EAI,14/8/2023,10/8/2023,www.eaiweb.com,United States,United States,Oil and Gas,,,"Private and personal confidential data, clients and employee documents, finance, taxes and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Algorry Zappia & Associates,16/8/2023,10/8/2023,www.algorryzappia.com.au,Australia," New South Wales, Australia",Construction,,,"Private and personal confidential data, clients and employee documents, finance, taxes and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Top Light,14/8/2023,10/8/2023,www.top-light.de,Germany,"Spenge, Germany",Electric Lighting Equipment Manufacturing,,,"Private and personal confidential data, clients and employee documents, IDs, finance, taxes and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
"Birch, Horton, Bittner & Cherot",6/8/2023,1/8/2023,www.birchhorton.com,United States," Anchorage, Alaska",Law Practice,,,"Private and personal confidential data, clients and employee documents,scans, IDs, contacts, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Aapd,6/8/2023,1/8/2023,www.aapd.com.au,Australia,Australia,"Technology, Information and Media",,,"Private and personal confidential data, clients and employee documents, contracs, finance, tax and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
"Garage Living, The Dispenser USA",6/8/2023,1/8/2023," www.garageliving.com, www.dispenser.com",Canada,Ontario,Manufacturing,"Founded in 2005, Garage Living is a company that specializes in the construction and remodeling of garages. The dispenser USA is a company that operates in the consumer goods industry.",,"Private and personal confidential data, clients and employee documents, finance, tax and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Xplain,5/8/2023,29/7/2023,www.xplain.ch,Switzerland,"Interlaken, Switzerland",IT Services and IT Consulting,,"important government information.

Company info:
Xplain is a leading manufacturer of standard software solutions for all areas and areas of application within the so-called area of « Homeland Security ».","Private and personal confidential data, finance, taxes, clients private and important government information.",1,1,0,0,0,1,0,1,0,0,0,0,0,,,0,0
Grupo MH,29/7/2023,24/7/2023,www.grupmh.com,Spain," Barcelona, Spain",Facilities Services,,,"Private and personal confidential data, clients and employee documents, contracs, finance, tax, and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Primoteq,29/7/2023,24/7/2023,www.primoteq.com,Netherlands,Hengelo OV,Machinery Manufacturing,,,"Private and personal confidential data, clients and employee documents, projects, contracs, finance, tax, and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
