,Unnamed: 0,Company_Name,Date_of_leak,Date_of_attack,Company_URL,Company_URL_2,True?,Country1,NumViews,,,Industry_Type,Manual Headquarter,Manual Industry Type,Data_Type,Notes
38,0,Legends Limousine,24/8/2023,18/8/2023,www.legendslimousine.com,,FALSE," New York, United States",11692,,,,,,"Private and personal confidential data, clients and employee documents, clients db, passports, IDs, finance, taxes and etc.    ",
39,0,Bolton Group,24/8/2023,18/8/2023,www.boltongroup.net,,FALSE,Italy,11658,,,,,,"Private and personal confidential data, clients and employee documents, passports, IDs, finance, taxes and etc. ",
40,0,Stanford Transportation Inc,24/8/2023,18/8/2023,www.driveforstanford.com,,FALSE,USA,11740,,,,,,"Private and personal confidential data, clients and employee documents, HR, SSN, clients db, IDs, finance, taxes and etc. ",Clients Database and documents
41,0,BTC Power,24/8/2023,18/8/2023,www.btcpower.com,,FALSE," California, United States",11574,,,,,,"Private and personal confidential data, clients and employee documents, payroll, clients db, IDs, finance information and etc. ",Clients Database and documents in a company that manufacturs EV charging systems 
42,0,Miami Management,24/8/2023,18/8/2023,www.miamimanagement.com,,FALSE," Florida, United States",11446,,,,,,"Private and personal confidential data, clients and employee documents, payroll, budget, contracts, IDs, finance information and etc.     ",
43,0,DSA Law Pty Ltd,24/8/2023,18/8/2023,www.dsalaw.com.au,,FALSE,Victoria Australia,11766,,,,,,"Private and personal confidential data, clients and employee documents, contracts, IDs, finance information and etc.     ",
44,0,ABS Auto Auctions,30/8/2023,18/8/2023,www.absautoauctions.com,,FALSE," California, United States",11551,,,,,,"Private and personal confidential data, clients and employee documents, contracts, finance information and etc.     ",
45,0,EAI,14/8/2023,10/8/2023,www.eaiweb.com,,FALSE,USA,12890,,,,,,"Private and personal confidential data, clients and employee documents, finance, taxes and etc.    ",
46,0,Algorry Zappia & Associates,16/8/2023,10/8/2023,www.algorryzappia.com.au,,FALSE," New South Wales, Australia",12888,,,,,,"Private and personal confidential data, clients and employee documents, finance, taxes and etc.     ",
47,0,Top Light,14/8/2023,10/8/2023,www.top-light.de,,FALSE,"  Nordrhein Westfalen, Germany",12809,,,,,,"Private and personal confidential data, clients and employee documents, IDs, finance, taxes and etc.     ",
48,0,"Birch, Horton, Bittner & Cherot",6/8/2023,1/8/2023,www.birchhorton.com,,FALSE,"  Alaska, United States",14764,,,,,,"Private and personal confidential data, clients and employee documents,scans, IDs, contacts, finance and etc.     ",
49,0,Aapd,6/8/2023,1/8/2023,www.aapd.com.au,,FALSE,Australia,14822,,,,,,"Private and personal confidential data, clients and employee documents, contracs, finance, tax and etc.     ",
50,0,"Garage Living, The Dispenser USA",6/8/2023,1/8/2023," www.garageliving.com, www.dispenser.com",,FALSE," Ontario, Canada",14821,,,,,,"Private and personal confidential data, clients and employee documents, finance, tax and etc.     ",
51,0,Xplain,5/8/2023,29/7/2023,www.xplain.ch,,FALSE,Switzerland,36993,,,,,,"Private and personal confidential data, finance, taxes, clients private and important government information.    ","important government information.

Company info:
Xplain is a leading manufacturer of standard software solutions for all areas and areas of application within the so-called area of « Homeland Security »."
52,0,Grupo MH,29/7/2023,24/7/2023,www.grupmh.com,,FALSE," Barcelona, Spain",16431,,,,,,"Private and personal confidential data, clients and employee documents, contracs, finance, tax, and etc.    ",
53,0,Primoteq,29/7/2023,24/7/2023,www.primoteq.com,,FALSE," Overijssel, Netherlands",16527,,,,,,"Private and personal confidential data, clients and employee documents, projects, contracs, finance, tax, and etc.     ",
54,0,Scharco Elektronik,29/7/2023,24/7/2023,www.scharco.eu,,FALSE," Nordrhein-Westfalen, Germany",16454,,,,,,"Private and personal confidential data, clients and employee documents, passports, IDs, scans, contracs, finance, tax, and etc.     ",
55,0,John Mulder Heating & Air Conditioning,29/7/2023,24/7/2023,www.johnmulderheating.ca,,FALSE," British Columbia, Canada",16581,,,,,,"Private and personal confidential data, clients and employee documents, HR, IDs, scans, contracs, finance, tax and etc.     ",
56,0,Centennial Management,25/7/2023,19/7/2023,www.centennialinvestments.com,,FALSE,"  Florida, United States",17501,,,,,,"Private and personal confidential data, clients and employee documents, IDs, contracts, finance, tax, finance and etc.     ",
57,0,Sea Force IX,25/7/2023,19/7/2023,www.seaforceboats.com,,FALSE," Florida, United States",17271,,,,,,"Private and personal confidential data, clients and employee documents, tax, finance and etc.     ",
58,0,Woodbine Hospitality,25/7/2023,19/7/2023,www.woodbinehospitality.com,,FALSE," New York, United States",17300,,,,,,"Private and personal confidential data, clients and employee documents, tax, finance, projects, IDs, and etc.    ",projects
59,0,ECS Technology Group,25/7/2023,19/7/2023,www.ecstechgroup.com,,FALSE," Texas, United States",17329,,,,,,"Private and personal confidential data, clients and employee documents, passports, clients db, tax, finance and etc.     ",Clients Database and Documents
60,0,Fernmoor Homes,25/7/2023,19/7/2023,www.fernmoorhomes.com,,FALSE," New Jersey, United States",17257,,,,,,"Private and personal confidential data, clients and employee documents, passports, contracs, payroll, tax, clients full info, finance and etc.     ",
61,0,Kensington Publishing,25/7/2023,19/7/2023,www.kensingtonbooks.com,,FALSE," New York, United States",17358,,,,,,"Private and personal confidential data, clients and employee documents, passports, scans, sql db, contracs, press releases, finance and etc.     ",Press releases?
62,0,Texas Heat Treating,15/7/2023,11/7/2023,www.texasheattreating.com,,FALSE,"  Texas, United States",19062,,,,,,"Private and personal confidential data, clients and employee documents, IDs, contracts, finance, tax, lab, a lot of technical documentation and etc. ","lab, and technical documentations"
63,0,Lawer SpA,13/7/2023,7/7/2023,www.lawer.com,,FALSE," Piedmont, Italy",20136,,,,,,"Private and personal confidential data, clients and employee documents, passports, contracts, finance and etc.    ",
64,0,Indiana Dimension,13/7/2023,7/7/2023,www.indianadimension.com,,FALSE," Indiana, United States",20113,,,,,,"Private and personal confidential data, clients and employee documents, passports, HR, contracts, finance and etc.    ",
65,0,Star Island Resort,13/7/2023,7/7/2023,www.star-island.com,,FALSE," Florida, United States",19992,,,,,,"Private and personal confidential data, clients and employee documents, passports, HR, contracts, finance and etc.    ",
66,0,Lazer Tow,13/7/2023,7/7/2023,www.lazertow.com,,FALSE," Missouri, United States",20057,,,,,,"Private and personal confidential data, clients and employee documents, clients base, passports, contracts, finance and etc.    ",
67,0,Intoximeters,11/7/2023,7/7/2023,www.intox.com,,FALSE," Missouri, United States",19743,,,,,,"Private and personal confidential data, clients and employee documents, passports, contracts, finance and etc.    ",
68,0,Safety Network,12/7/2023,6/7/2023,www.safetynetworkinc.com,,FALSE," California, United States",19898,,,,,,"Private and personal confidential data, clients and employee documents, contracts, finance, and etc.    ",
69,0,Capacity LLC,12/7/2023,6/7/2023,www.capacityllc.com,,FALSE," New Jersey, United States",19915,,,,,,"Private and personal confidential data, clients and employee documents, passports, IDs, contracts, tax, and etc.    ",
70,0,Betty Lou's,12/7/2023,6/7/2023,www.bettylousinc.com,,FALSE," Oregon, United States",20113,,,,,,"Private and personal confidential data, clients and employee documents, passports, contracts, and etc.    ",
71,0,MUJI Europe Holdings Limited,12/7/2023,6/7/2023,www.muji.eu,,FALSE," London, England",20045,,,,,,"Private and personal confidential data, clients and employee documents, passports, contracts, finance and etc.     ",connection refused: date 14 Oct
72,0,Geneva Software,12/7/2023,6/7/2023,www.genevasi.com,,FALSE," Virginia, United States",19803,,,,,,"Private and personal confidential data, clients and employee documents, contracts, taxes, finance and etc.    ",
