,Company,Company Description,Date Victimised,,Number of Clicks,Status,pageurl
26,lhh.com.my,"We distribute solely for Philip Morris (Malaysia) Sdn Bhd across Kuala Lumpur, Cheras, Klang, Kuantan and Melaka. Our world-class tobacco brands include Marlboro, Sempoerna and Chesterfield.",10/14/2023 14:27,"07 JUN, 2023 16:18 UTC",30589,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/j9Fs5DUi0rR6IU5y6480b05d9b5e9
27,ewwanfried.de,"E-Werk Wanfried is a local power supply company with the core areas of grid, sales, power generation and energy services. The company is owned by the von Scharfenberg family in the 5th generation.",10/14/2023 14:28,"07 JUN, 2023 12:26 UTC",29613,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/DvbnBxEWsLe3YxTF648079e94257c
28,arcc.org,"The mission of ARCC is to provide services, deliver training, and promote innovation to support our regions school districts.",10/14/2023 14:28,"07 JUN, 2023 09:51 UTC",27579,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Yu44Qskc1msn3x0I6480558ab4a0b
29,aluminumsandcastingsfoundry.com,"With satisfied customers all over North America, Mahoney Foundries supplies raw, fully machined, aluminum and brass castings for many applications. Since opening our doors in 1972, we've acquired a reputation for unrivalled service, quality, integrit...",10/14/2023 14:28,"07 JUN, 2023 10:17 UTC",26669,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/qR5JkbiFvq9uOUYP64805bd0db5c0
30,metronottevigilanza.it,"Our mission is to address the issue of security at 360 degrees, proposing ourselves to companies, public bodies, small traders and private individuals. We operate in the armed private security sector, with Public Security authorization and thirty yea...",10/14/2023 14:28,"06 JUN, 2023 16:13 UTC",25554,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/XRgTRbvEwyGVCym2647f5db82b95f
31,trois-i.com,"Trois I Investissements Industriels Internationaux sa is an independent, family owned holding company focused on long term investments. ‍Established in the late ‘90s in London, Trois I moved to Luxembourg in 2006, with the aim to take advantage of t...",10/14/2023 14:28,"06 JUN, 2023 15:32 UTC",43169,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/ymx62XYbAJtZ4kEn647f54305f414
32,ykk.com,"They are the world's largest zipper manufacturer, also producing other fastening products, architectural products, plastic hardware and industrial machinery. The initials YKK stand for Yoshida Kōgyō Kabushiki gaisha branch in the USA",10/14/2023 14:28,"26 JUL, 2023 06:07 UTC",13317,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Uwl8kHCVzESeN1vm64c0b7f970609
33,ohiohistory.org,"The Ohio History Fund was created to support the preservation and sharing of Ohio's heritage by funding local, regional, and statewide projects, programs, and events related to the broad sweep of the state's history and pre-history.",10/14/2023 14:29,"26 JUL, 2023 06:15 UTC",16735,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/PHGKqcDAe6MRLtuT64c0b9f2c8b63
34,blackjewel l.l.c.,"We give you a unique chance to see the corporation Blackjewel LLC from the inside. This is the third large US coal company so it will be interesting. To your attention more than 500gb of documents, databases, Accounting, Audit, data of all branches...",10/14/2023 14:29,"13 JUL, 2023 13:28 UTC",30034,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/rDdEM3EqYs54S3fB64affbb160af2
35,persingerlaw.com,"Persinger & Persinger, L.C. is a law firm in Charleston, WV with 1 attorneys selected to the Super Lawyers or Rising Stars lists.",10/14/2023 14:29,"01 AUG, 2023 04:24 UTC",13674,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/2S8oDNFfIPmchASS64c888d3b841b
36,mipe.com,"Mission Petroleum Carriers, Inc is a bulk commodity transport company operating throughout Texas and surrounding states. Mission’s primary focus is the gathering and transportation of crude oil. Based in San Antonio, Texas, Mission has been providing...",10/14/2023 14:29,"04 AUG, 2023 19:47 UTC",15680,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/nR0gQf2ZVWoKNJ1G64cd55b50af2b
37,eyedoc.com.na,"Emoneko is a Namibian health and eye care company with a vision to improve the lives of Namibians through superior service and care, combined with world-class technology. Established in 2018, Emoneko is the management company overseeing the activit...",10/14/2023 14:29,"14 JUL, 2023 08:22 UTC",23460,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/CB2RVMusIx3lGLes64b1054d564a3
38,wings.travel,"Wings has led the market in managing complex travel and support services worldwide, with particular expertise in developing markets and high-risk destinations.",10/14/2023 14:29,"09 AUG, 2023 10:50 UTC",12590,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/lUbuTIedH31D3zTd64d36f3653728
39,2plan.com,"Wealth management firm in the UK. Head office administration, technology and regulatory teams provide exceptional support to all financial advisers around the country, enabling them to deliver the best possible service to clients.",10/14/2023 14:12,"09 AUG, 2023 11:17 UTC",12784,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/xYJKCpN4m4GRzVwI64d375bd1c0a7
40,chula.ac.th,"Currently, the academic administration of the Department of Industrial Engineering, Chulalongkorn University, has changed a lot from the past. to maintain modernity in academic fields and the application of knowledge and techniques to keep pace with...",10/14/2023 14:23,"09 AUG, 2023 12:10 UTC",14295,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/NpJ2Y60fZ2zbSjHZ64d3822c893bc
41,siampremier.co.th,"Providing legal advice and services to international clients, Siam Premier is a law firm in Thailand housing expert lawyers for all your business needs.",10/14/2023 14:13,"13 AUG, 2023 08:24 UTC",10290,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/4rhPszKBwbXa3mUb64d8932edf26b
42,zain.com,Data leak,10/14/2023 14:13,"27 AUG, 2023 21:21 UTC",7203,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/zw80A12hyTSf3oDd64ebbe3213c5f
43,gsaenz.com.mx,The Company's line of business includes the refining of purchased raw cane sugar and sugar syrup.,10/14/2023 14:13,"29 AUG, 2023 17:51 UTC",6511,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/tcgndYrtC6W5oW2064ee2fe63f66d
44,motsaot.co.il,Motsaot was founded in 1989 and is the biggest company for portable toilets in Israel.,10/14/2023 14:13,"29 AUG, 2023 18:14 UTC",6002,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/GxEpsAiY8VcptXc364ee35558c18f
45,michalovich.co.il,Haim Michalovitz Company Management and Entrepreneurship Ltd. is a company that specializes in the execution of prestigious projects in the field of construction.,10/14/2023 14:13,Not found,5943,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/DqimfKqnHwEJiVnN64ee395b8ad83
46,glat.zapweb.co.il,"MB Glatt Chicken Mehadrin Ltd. is a company that specializes in kosher fish, poultry and meat processing.",10/14/2023 14:13,Not found,5755,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/iK6bOvIydWjtwZhp64ee3e3f180d5
47,ipsenlogistics.com,"We are a holding company with interests in the field of international transport services, including industrial export packing.",10/14/2023 14:13,"29 AUG, 2023 17:57 UTC",5782,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/eTOHVM8oIVYcKBlv64ee317f3172f
48,commercialfluidpower.com,"Commercial Fluid Power is a one stop shop for your fluid power needs. We carry a complete line of materials and offer extensive honing and machining capabilities. And with plants in Dover & North Canton, Ohio as well as Rome, Georgia, we are convenie...",10/14/2023 14:14,"29 AUG, 2023 19:22 UTC",5478,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/h7oVQsNkREMvrTgL64ee455230499
49,neolaser.es,"Design and manufacturing, manufacturing and assembly... or the entire process. No matter how many stages you need us to cover, at Neolaser we advise you during the process, we adapt to your needs and we offer you a tailor-made service.",10/14/2023 14:21,"29 AUG, 2023 21:08 UTC",5468,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/raO6y4qL09tGjwyV64ee5e29cfbf8
50,lamaisonmercier.com,"In 1912, Marcel Mercier, a baker in the heart of Berry launched original biscuits with regional flavors (croustade au crottin Chavignol, croquet du Berry...).",10/14/2023 14:14,"30 AUG, 2023 20:15 UTC",5074,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/4OFtJcjAbC2Cre7X64efa34af23ce
51,aeroportlleida.cat,"L'Aeroport de Lleida-Alguaire is located 15 km from Lleida. It is located at the clau point in the northeast of the Iberian Peninsula, where a network of infrastructures converges that connects the airport with important tourist and industrial center...",10/14/2023 14:14,"30 AUG, 2023 20:39 UTC",5039,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/AtXQ7ohuBLIk1zVR64efa8f49ef92
52,mehmetceylanyapi.com.tr,"Mehmet Ceylan Yapı A.Ş., which initially set out with a store of 250 M2 with the labor and cooperation of only two people, has realized Turkey's largest single-storey building store (3,000 M2) in İzmir Konak by considering the needs of each period an...",10/14/2023 14:14,"30 AUG, 2023 21:56 UTC",4464,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/kSBvHO5KPQ9eP4zq64efbaf40e38e
53,energyinsight.co.za,"THE wholesaler for pipes and civil engineering components and have specialized in trading with steel pipes (that ALPE ""Fuchsrohr"" system) and cast iron pipes concentrated. With experience and know-how, we supply pipes together with Molded parts, acce...",10/14/2023 14:14,"30 AUG, 2023 22:26 UTC",4551,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/1XnsqNMcAI650GvL64efc20febf6f
