,Company URL,Company Description,Date Victimised ,Number of Clicks,Status,Company_Country,Industry_Type,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
49,neolaser.es,"Design and manufacturing, manufacturing and assembly... or the entire process. No matter how many stages you need us to cover, at Neolaser we advise you during the process, we adapt to your needs and we offer you a tailor-made service.","29 AUG, 2023 21:08 UTC",5468,Published,ישראל,Medical Equipment Manufacturing,,,,,,,,,,,,,,,,,
50,lamaisonmercier.com,"In 1912, Marcel Mercier, a baker in the heart of Berry launched original biscuits with regional flavors (croustade au crottin Chavignol, croquet du Berry...).","30 AUG, 2023 20:15 UTC",5074,Published,France,Agro-alimentaire,,,,,,,,,,,,,,,,,
51,aeroportlleida.cat,"L'Aeroport de Lleida-Alguaire is located 15 km from Lleida. It is located at the clau point in the northeast of the Iberian Peninsula, where a network of infrastructures converges that connects the airport with important tourist and industrial center...","30 AUG, 2023 20:39 UTC",5039,Published,España,Aviation & Aerospace,,,,,,,,,,,,,,,,,
52,mehmetceylanyapi.com.tr,"Mehmet Ceylan Yapı A.Ş., which initially set out with a store of 250 M2 with the labor and cooperation of only two people, has realized Turkey's largest single-storey building store (3,000 M2) in İzmir Konak by considering the needs of each period an...","30 AUG, 2023 21:56 UTC",4464,Published,Türkiye,Toptan Satış Yapı Malzemeleri,,,,,,,,,,,,,,,,,
53,energyinsight.co.za,"THE wholesaler for pipes and civil engineering components and have specialized in trading with steel pipes (that ALPE ""Fuchsrohr"" system) and cast iron pipes concentrated. With experience and know-how, we supply pipes together with Molded parts, acce...","30 AUG, 2023 22:26 UTC",4551,Published,United States,Environmental Services,,,,,,,,,,,,,,,,,
54,tlip2.com,"Vietnam is the focus of much attention worldwide as an attractive investment destination of ""China plus one”. The hard-working young force with clever hands, the stable political environment and the good relationship with Japan are some of the featur...","31 AUG, 2023 00:57 UTC",4543,Published,,,,,,,,,,,,,,,,,,,
55,piramidal.com.br,It's great for your business. A new cycle of transformation is starting.,"31 AUG, 2023 01:13 UTC",4462,Published,Brasil,Fabricação de plásticos,,,,,,,,,,,,,,,,,
56,antioch.edu,"Antioch University - Los Angeles is ranked #1,033 out of 2,241 schools in the nation that were analyzed for overall quality.","31 AUG, 2023 04:37 UTC",4466,Published,,,,,,,,,,,,,,,,,,,
57,syntech.com.sg,"syntech.com.sg We are a upper-structure specialist in the fabrication, manufacturing, design engineering of commercial heavy industry vehicles of various types of trucks.","31 AUG, 2023 08:14 UTC",4381,Published,,,,,,,,,,,,,,,,,,,
58,chevalerias.com,"For 98 years, the Chevalerias establishments, a family-owned and independent company, have specialized in the distribution of intelligent agricultural and landscape maintenance equipment.","31 AUG, 2023 22:37 UTC",4435,Published,France,Agriculture,,,,,,,,,,,,,,,,,
59,faithfamilyacademy.org,"Oak Cliff Faith Family Academy is an charter elementary/secondary school in Dallas, TX, in the Waxahachie Faith Family Academy school district. As of the 2021-2022 school year, it had 2,325 students.","01 SEP, 2023 08:35 UTC",4359,Published,United States,Education Administration Programs,,,,,,,,,,,,,,,,,
60,dasholding.ae,Das Holding - Business Information Holding Companies & Conglomerates · United Arab Emirates · 129 Employees,"02 SEP, 2023 14:51 UTC",4615,Published,الإمارات العربية المتحدة,Investment Management,,,,,,,,,,,,,,,,,
61,sbhc.us,"Southwest Behavioral Health Center Hospitals & Physicians Clinics · Utah, United States ·","02 SEP, 2023 15:57 UTC",4436,Published,United States,Pharmaceutical Manufacturing,,,,,,,,,,,,,,,,,
62,eljayoil.com,"Eljay Oil - Business Information Electricity, Oil & Gas · Washington, United States ·","02 SEP, 2023 16:08 UTC",4446,Published,United States,Oil and Gas,,,,,,,,,,,,,,,,,
63,scottpartners.com,"Scott + Partners Hospitality · Vermont, United States ·","02 SEP, 2023 16:20 UTC",4358,Published,Australia,Accounting,,,,,,,,,,,,,,,,,
64,beamconstruction.com,"Construction company. 187GB - Financial reports, payment journal, bank statements, tax forms, various accounting documentation - Lists of employees with confidential data (ssn numbers, residential addresses, date of birth, contracts, FMLA forms, s...","06 SEP, 2023 21:55 UTC",4384,Published,United States,Construction,,,,,,,,,,,,,,,,,
65,stavinvest.cz,Meroso Foods has a deep-rooted history as Belgium-based food manufacturer. Different milestones throughout more than 60 years have made the company and its product portfolio what it is today.,"07 SEP, 2023 06:45 UTC",4223,Published,,,,,,,,,,,,,,,,,,,
66,perfectlaw.com,"PerfectLaw® is the most function- and feature-rich legal software that uses a single All-in-One® database for all law office applications. This means you enter your data once and it is immediately available to everyone and every application, subject...","08 SEP, 2023 16:38 UTC",4287,Published,,,,,,,,,,,,,,,,,,,
67,milbermakris.com,"Milber Makris Plousadis & Seiden, LLP is a full-service civil litigation defense firm and business partner to the insurance industry","08 SEP, 2023 16:42 UTC",4297,Published,United States,Law Practice,,,,,,,,,,,,,,,,,
68,pelicanwoodcliff.com,"Welcome to Pelican Woodcliff. We are an independent multi-disciplinary real estate advisory and cost consulting firm. It is our goal to envision, evaluate and excel in order to maximize the success of our clients projects. We enhance the chances of a...","15 SEP, 2023 10:05 UTC",5264,Published,,Real Estate,,,,,,,,,,,,,,,,,
